    Language  Files   Code  Comment  Blank   Total
       Total   1836  82163     7762  19381  108431
          Go   1691  61136     4279  14454   79515
         CSS     74  18730     3128   4586   25953
        HTML     30   1183        0     81    1264
  JavaScript     12    687      346     95    1098
    Markdown     19    347        0    150     497
       Shell      6     46        6      0      52
        Make      3     27        0     12      39
      Python      1      7        3      3      13
