    Language  Files    Code  Comment  Blank   Total
       Total    955  295462    34087  34300  357280
          Go    834  287079    32905  32214  345719
    Markdown     20    3297        0    913    4210
        Perl     20    2326      402    376    3064
       Shell     10    1397      750    252    2349
    Assembly     60    1228        0    494    1722
           C      4      74       28     28     130
        Make      5      53        2     21      76
  JavaScript      2       8        0      2      10
