    Language  Files  Code  Comment  Blank  Total
       Total    175  6699      444   1447   8568
         CSS     10  2836       18    538   3391
          Go     76  2089      390    390   2856
    Markdown     49  1119        0    473   1592
        HTML     21   562        5     21    588
        Make      8    61        0      9     70
       Shell      6    17       21     14     45
  JavaScript      5    15       10      2     26
