    Language  Files   Code  Comment  Blank  Total
       Total    162  15899     2045   3491  21180
  JavaScript     12   8383     1260   1028  10518
          Go    131   3307      718    874   4805
    Markdown      7   3278        0   1507   4785
         CSS      3    797       47     49    886
        HTML      7     98       11     23    132
       Shell      1     29        7      6     41
        Make      1      7        2      4     13
