  Language  Files    Code  Comment  Blank   Total
     Total    774  147856    19393  17915  181927
        Go    714  145172    18924  17236  178141
      Perl      8     856      143    151    1141
  Markdown     10     596        0    189     785
     Shell     10     447      257     66     758
  Assembly     22     437        0    191     628
         C      6     324       43     71     413
      Make      4      24       26     11      61
